Registration district,Country,Year,Total,latitude,longitude
BASINGSTOKE,,1861,401.4147675,51.2222743,-1.008241877
BASINGSTOKE,,1861,401.4147675,51.1963,-0.983033333
BASINGSTOKE,,1861,401.4147675,51.26891569,-1.052555715
BASSINGHAM,,1861,276.7581772,53.07424014,-0.737407397
BASSINGHAM,,1861,276.7581772,53.10772487,-0.660933823
BATHEASTON,BATH,1861,553.9996997,51.40972471,-2.349673519
BATHWICK,BATH,1861,480.2019919,51.37627147,-2.326293353
BATLEY,BATLEY,1861,679.9670252,53.71714626,-1.642154371
BATTERSEA,LONDON,1861,899.0619995,51.46796484,-0.172569996
BATTERSEA,LONDON,1861,899.0619995,51.47545963,-0.149591274
BATTERSEA,LONDON,1861,899.0619995,51.45591897,-0.160228398
BATTLE,,1861,299.0417983,50.91994343,0.482687864
BATTLE,,1861,299.0417983,50.91684577,0.326760661
BATTLE,,1861,299.0417983,50.93939147,0.394193763
BATTLEFIELD,,1861,141.6235419,52.76777584,-2.743935297
BATTLEFIELD,,1861,141.6235419,52.72193856,-2.666893552
BAWDESWELL,,1861,220.3389171,52.72787267,1.026546182
BAWTRY,DONCASTER,1861,380.8607618,53.59916667,-1.091566667
BAWTRY,DONCASTER,1861,380.8607618,53.50070452,-1.015995412
BAWTRY,DONCASTER,1861,380.8607618,53.53418349,-1.103894586
BEACONSFIELD,,1861,196.7636364,51.61866739,-0.645585204
BEAMINSTER,,1861,264.3857769,50.79460272,-2.701523945
BEAUMARIS,,1861,1020.942737,53.27913566,-4.205437886
BEAUMARIS,,1861,1020.942737,53.20621527,-4.381096028
BEAUMARIS,,1861,1020.942737,53.25411248,-4.183067558
BECCLES,,1861,536.1090834,52.43159892,1.56676589
BECKLEY,,1861,283.4065735,50.95616693,0.647950105
BEDALE,,1861,487,54.29442471,-1.558402237
BEDFORD AND CARDINGTON,BEDFORD,1861,849.6065994,52.11891529,-0.418686909
BEDFORD AND KEMPSTON,BEDFORD,1861,831.7454937,52.12859733,-0.512126621
BEDLINGTON,,1861,604.1551403,55.14450274,-1.598192694
BEDLINGTON,,1861,604.1551403,55.23303722,-1.62650843
BEDMINSTER,BRISTOL,1861,1227.824191,51.41723746,-2.607618299
BEDMINSTER,BRISTOL,1861,1227.824191,51.43651725,-2.60234493
BEDMINSTER,BRISTOL,1861,1227.824191,51.43448306,-2.571195621
BEGELLY,,1861,224.5280212,51.7324345,-4.755035164
BEIGHTON,,1861,182.8884486,53.37785177,-1.314103249
BEIGHTON,,1861,182.8884486,53.34394149,-1.36300118
BEIGHTON,,1861,182.8884486,53.3374682,-1.297541931
BELBROUGHTON,,1861,321.8677346,52.40983598,-2.093342977
BELGRAVE,,1861,0,51.49367554,-0.146395619
BELLINGHAM,,1861,294.3465347,55.2272119,-2.417212237
BELPER,,1861,517.2847787,53.02783513,-1.476191718
BENNINGTON,,1861,303.1299314,52.96829114,-0.728352791
